".id","dates","totals","doi"
"twitter",2012-10-10,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-11,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-11,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-12,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-12,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-13,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-13,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-14,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-15,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-15,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-16,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-16,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-17,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-17,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-18,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-18,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-19,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-19,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-25,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-25,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-26,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-26,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-27,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-27,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-28,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-28,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-29,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-29,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-30,0,"10.1371/journal.pone.0043938"
"twitter",2012-11-01,0,"10.1371/journal.pone.0043938"
"twitter",2012-11-01,0,"10.1371/journal.pone.0043938"
"twitter",2012-11-02,0,"10.1371/journal.pone.0043938"
"twitter",2012-11-02,0,"10.1371/journal.pone.0043938"
"twitter",2012-11-03,0,"10.1371/journal.pone.0043938"
"twitter",2012-11-03,0,"10.1371/journal.pone.0043938"
"wikipedia",2012-09-22,0,"10.1371/journal.pone.0043938"
"wikipedia",2012-10-03,0,"10.1371/journal.pone.0043938"
"wikipedia",2012-10-06,0,"10.1371/journal.pone.0043938"
